IdLoja;Departamento;Categoria;SubCategoria;Marca;Unidade;Volume;CodigoBarra;Nome;Data;Data2;Valor;ValorPromocao;QtdeEstoqueAtual;QtdeEstoqueMinimo;Descricao;Ativo;Plu;ValorCompra;ValidadeProxima;ValorAtacado;QuantidadeAtacado;SemUso
5264;LATICINIOS;QUEIJO PRATO;QUEIJO PRATO CRY;FRIMESA;KG;1;17206;QUEIJO PRATO FRIMESA CRY KG;08/12/2023;08/12/2023;57.9;0;32.076;5;Prato - Cry;S;23361;0;N;0;0; 
5264;ACOUGUE;LINGUICA;LINGUICA FINA RESFRIADA;BIZINELLI;KG;1;10665;LINGUICA BIZINELLI FINA ESPECIAL KG;08/12/2023;08/12/2023;31.98;0;130.674;5;Resfriada;S;30295;0;N;0;0; 
5264;ROTISSERIA;CARNE SUINA & LINGUICAS;ASSADO;ROTISSERIA;KG;1;2417;PERNIL SUINO ASSADO KG;08/12/2023;08/12/2023;59.9;0;0;5; ;S;30392;0;N;0;0; 
5264;FRIOS,MASSAS E GORDUROSOS;COMEMOR.SAZ.TENDER;TENDER SUINO BOLINHA;FRIMESA;KG;1;17534;TENDER SUINO FRIMESA BOLINHA KG;08/12/2023;08/12/2023;41.9;0;2366.558;5;Resfriado;S;31518;0;N;0;0; 
5264;FIAMBRERIA;SALSICHARIA;SALSICHA VIENA;JULIATTO;KG;1;5807;SALSICHA JULIATTO VIENA KG;08/12/2023;08/12/2023;34.25;0;5.422;5; ;S;31992;0;N;0;0; 
5264;FRIOS,MASSAS E GORDUROSOS;DEFUMADOS P/PREPARACOES;CORTE SUINO DEF.;Sem marca;KG;1;5913;COSTELA SUINA JULIATTO DEF.KG;08/12/2023;08/12/2023;53.9;0;9.603;5;Defumada;S;32379;0;N;0;0; 
5264;ROTISSERIA;RESTAURANTE;ALMOCO POR KILO;ROTISSERIA;KG;1;36603;REST.ALMOCO P/KILO;08/12/2023;08/12/2023;59.9;0;0;5; ;S;32786;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PANETTONES;PANETTONES TRAD.CHOCOLATE;VISCONTI;UN;1;7891962057026;Panettone Visconti;08/12/2023;08/12/2023;19.69;0;74;5;450g - Trufa - Caixa;S;1835073;0;N;0;0; 
5264;LATICINIOS;MUNDO INFANTIL;INFANTIL PETIT INDIVIDUAL;DANONINHO;UN;1;7891025112983;Petit-suisse para Levar Danoninho;08/12/2023;08/12/2023;3.75;0;158;5;70g - Morango e Banana - Pouch;S;1700574;0;N;0;0; 
5264;LATICINIOS;IOGURTES;IOG.SEM LACTOSE INDIVIDUAL;BATAVO;UN;1;7891097000775;Iogurte Batavo;08/12/2023;08/12/2023;2.29;0;146;5;100g - Pense Zero - Zero Lactose - Zero Acucar - Morango;S;1966860;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PANETTONES;PANETTONES TRAD.CHOCOLATE;LACTA;UN;1;7622210530608;Panettone Lacta;08/12/2023;08/12/2023;18.98;0;44;5;400g - Gotas;S;2138485;0;N;0;0; 
5264;ANIMAIS;GATOS-ALIMENTOS;GATO-AL.ATE 3KG AD.PREM.ESP.;BALANCE;UN;1;7891515605421;Racao para Gatos Balance;08/12/2023;08/12/2023;46.9;0;6;5;2,7kg - Adultos - Carne e Vegetais ;S;2140499;0;N;0;0; 
5264;ANIMAIS;GATOS-ALIMENTOS;GATO-AL.ATE 3KG AD.PREM.ESP.;BALANCE;UN;1;7891515605469;Racao Balance;08/12/2023;08/12/2023;46.9;0;8;5;2,7Kg - Gatos - Adulto - Frango;S;2140523;0;N;0;0; 
5264;SECA SALGADA;TEMPEROS NATURAIS C/MOEDORES;MIX TEMPEROS;BR SPICES;UN;1;7898946900972;Tempero BR Spices;08/12/2023;08/12/2023;18.99;0;6;5;80g - Com Moedor - Barbecue ;S;1990076;0;N;0;0; 
5264;LIMPEZA;BANHEIRO;DESOD.SANIT.GEL APAR.;PATO;UN;1;7894650011669;DESODOR.PATO GEL ADES.D.DAS FLORES AP.GT;08/12/2023;08/12/2023;14.99;0;8;5; ;S;2138774;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FRUTAS EMBALADAS;PESSEGO;DOM FRUTO;UN;1;7898949126386;Pessego;08/12/2023;08/12/2023;4.59;0;232;5;500g;S;2139723;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FRUTAS EMBALADAS;PESSEGO;DOM FRUTO;UN;1;736532477316;Pessego;08/12/2023;08/12/2023;4.59;0;232;5;500g;S;2139723;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FRUTAS EMBALADAS;PESSEGO;DOM FRUTO;UN;1;7892855021292;Pessego;08/12/2023;08/12/2023;4.59;0;232;5;500g;S;2139723;0;N;0;0; 
5264;GRANJEIROS;OVOS;OVOS CAIPIRA;FAZENDA DA TOCA;UN;1;7898405740859;OVOS F.TOCA CAIPIRA ORG.G.JOVENS P C/10;08/12/2023;08/12/2023;13.49;0;0;5; ;S;2138899;0;N;0;0; 
5264;SECA PESADA;GRAOS & CEREAIS;TRIGO P/KIBE;JANDIRA;UN;1;7896291902221;Trigo para Kibe Jandira;08/12/2023;08/12/2023;7.49;0;46;5;500g;S;100650;0;N;0;0; 
5264;LATICINIOS;QUEIJOS ESPECIAIS;QUEIJO COLONIAL;FRIMESA;KG;1;98090;QUEIJO FRIMESA COLONIAL FRAC.KG;08/12/2023;08/12/2023;77.9;0;16.799;5;Colonial ;S;1879279;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PAES MULTI CEREAIS;PAES M.CER.INTEGRAL;PANUTRI;UN;1;7898904874307;Pao Panutri;08/12/2023;08/12/2023;8.49;0;26;5;500g - Integral;S;1948769;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PAES MULTI CEREAIS;PAES M.CER.INTEGRAL;CASEIRINHO;UN;1;7896844300573;Pao Caseirinho;08/12/2023;08/12/2023;8.49;0;9;5;450g - Forma - Integral;S;1667948;0;N;0;0; 
5264;PAES E BOLOS INDUSTRIALIZADOS;PAES BRANCO;PAO SEM CASCA;CHARLOTTE;UN;1;7897429363556;PAO CHARLOTTE S/C 400G;08/12/2023;08/12/2023;13.75;0;10;5; ;S;2174324;0;N;0;0; 
5264;LIMPEZA;INSETICIDAS E REPELENTES;REPELENTE SPRAY/AERO;OFF;UN;1;7894650009604;REPELENTE OFF FAMILY SPRAY 170ML;08/12/2023;08/12/2023;34.99;0;51;5; ;S;2174522;0;N;0;0; 
5264;LIMPEZA;LIMPEZA DE ROUPA;AMACIANTE CONC.ACIMA 1,5L;COMFORT;UN;1;7891150094369;AMAC.COMFORT CONC.FRESCOR INTENSO 1,8L;08/12/2023;08/12/2023;40.9;0;36;5; ;S;2174548;0;N;0;0; 
5264;PAPELARIA/VIAGEM/LIVROS;PORTA MATERIAL ESCOLAR;MOCHILA ESCOLAR;YINS;UN;1;7898720569135;MOCHILA YINS FUTEBOL JUVENIL;08/12/2023;08/12/2023;99;0;0;5; ;S;2172955;0;N;0;0; 
5264;PAPELARIA/VIAGEM/LIVROS;PORTA MATERIAL ESCOLAR;MOCHILA ESCOLAR;YINS;UN;1;7898720569159;MOCHILA YINS TACTEL TONS JUVENIL;08/12/2023;08/12/2023;119;0;0;5; ;S;2172989;0;N;0;0; 
5264;PAPELARIA/VIAGEM/LIVROS;PORTA MATERIAL ESCOLAR;MOCHILA ESCOLAR;YINS;UN;1;7898720567193;MOCHILA YINS CASUAL CRINKLE;08/12/2023;08/12/2023;93.9;0;0;5; ;S;2173003;0;N;0;0; 
5264;BEBIDAS FRIAS;SUCO PRONTO;FAMILIAR;DEL VALLE;UN;1;7898341430036;Suco Del Valle Mais;08/12/2023;08/12/2023;6.69;0;0;5;1 Litro - Pessego - TP;S;652479;0;N;0;0; 
5264;ELETROPORTATEIS;COZINHA;LIQUIDIFICADOR;BRITANIA;PC;1;7899466421473;Liquidificador Britania Diamante;08/12/2023;08/12/2023;149;0;5;5;127V - Potencia de 800W;S;1657329;0;N;0;0; 
5264;SECA PESADA;FAROFAS & FARINHAS;FAROFA MAND.TEMP.ATE 250G;PINDUCA;UN;1;7896015912529;Farofa de Mandioca Pinduca;08/12/2023;08/12/2023;6.98;0;13;5;200g - Cebola;S;2148450;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FOLHAGENS;ALFACE CRESPA;CAVALLI;UN;1;7896118900591;Alface Crespa Cavalli;08/12/2023;08/12/2023;7.19;0;0;5;150g - Folhas;S;1993591;0;N;0;0; 
5264;FRUTAS & HORTALICAS;FOLHAGENS;ALFACE CRESPA;CAVALLI;UN;1;7898695730080;Alface Crespa Cavalli;08/12/2023;08/12/2023;7.19;0;0;5;150g - Folhas;S;1993591;0;N;0;0; 
5264;LATICINIOS;SOBREMESA;SOBREMESA SABORES;BATAVO;UN;1;7891097000232;Sobremesa Batavo;08/12/2023;08/12/2023;4.39;0;42;5;180g - Doce de Leite;S;1871748;0;N;0;0; 
5264;FIAMBRERIA;ENTREPOSTO - FIAMBRERIA;QUEIJO PRATO;TIROL;UN;1;32173840;QUEIJO PRATO TIROL FAT.400G;08/12/2023;08/12/2023;17.99;0;0;5; ;S;2173847;0;N;0;0; 
5264;PERFUMARIA/HIGIENE E BELEZA;HIGIENE INFANTIL;FRALDA DESC.ESPECIAL TAMANHOS;PAMPERS;UN;1;7500435157537;Fralda Pampers Splashers;08/12/2023;08/12/2023;41.99;0;0;5;Tam. XG/ XXG - Praia - Com 10 Fraldas ;S;1921345;0;N;0;0; 
5264;FRUTAS & HORTALICAS;VERDURAS & LEGUMES ORGANICOS;ABOBORA;DA NOSSA;UN;1;7898624450133;Cebola;08/12/2023;08/12/2023;4.59;0;0;5;1kg - Pacote;S;112516;0;N;0;0; 
5264;FRUTAS & HORTALICAS;VERDURAS & LEGUMES ORGANICOS;ABOBORA;DA NOSSA;UN;1;7892857021184;Cebola;08/12/2023;08/12/2023;4.59;0;0;5;1kg - Pacote;S;112516;0;N;0;0; 
5264;FRUTAS & HORTALICAS;VERDURAS & LEGUMES ORGANICOS;ABOBORA;DA NOSSA;UN;1;7897589710009;Cebola;08/12/2023;08/12/2023;4.59;0;0;5;1kg - Pacote;S;112516;0;N;0;0; 
