Product Name,link,ean_value,Price,loja,brand,ListPrice,Departament,Category,SubCategory
Cachepo Elegance Nutriplan,,7896403222971,32.29,Condor,NUTRIPLAN,,JARDINS,VASOS & ACESSORIOS,VASOS CERAMICAS
Biscoito Club Social,,7622300992330,9.89,Condor,CLUB SOCIAL,,SECA LEVE,INTEGRAIS,INTEGR.PERSONAL CRACKER
Ralo para Pia Fixtil,,7896526675913,8.29,Condor,FIXTIL,,FERRAGENS & FERRAMENTAS,HIDRAULICA,RALOS & GRELHAS
Sobremesa Frimesa,,7896275980986,4.19,Condor,FRIMESA,,LATICINIOS,SOBREMESA,SOBREMESA ACHOCOLATADA
Guia com Peitoral SSPETS,,7898474532041,22.19,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-PEITORAIS/GUIAS
Brinquedo SSPETS,,7898474526330,25.29,Condor,SSPETS,,ANIMAIS,CAES-ACESSORIOS,CAO-BRINQUEDOS
Chave Combinada Tramontina,,7891114063592,15.9,Condor,TRAMONTINA,,FERRAGENS & FERRAMENTAS,FERRAMENTAS,CHAVES FIXAS & ESTRELA
Mortadela Aurora,,7891164005986,8.15,Condor,COOP.AURORA,,"FRIOS,MASSAS E GORDUROSOS",FRIOS DEFUM/CURADOS/FATIADOS,MORTADELA BOLONHA FAT.
Preservativo Olla,,7896222718846,19.98,Condor,OLLA,,PERFUMARIA/HIGIENE E BELEZA,INTIMIDADE A DOIS,PRESERVATIVO
Cerveja Brahma Extra,,7891149107018,3.49,Condor,BRAHMA,,BEBIDAS FRIAS,CERVEJAS,PILSEN CORE PM LATA
Farofa de Soja Pratic Leve,,7896422000734,14.79,Condor,PRATIC LEVE,,SECA PESADA,FAROFAS & FARINHAS,FAROFA DE SOJA
Coloracao Bela&Cor,,7896509972138,10.29,Condor,BELA & COR,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,COLORACAO PERMANENTE MINI KIT
Farinha Lactea Nestle,,7891000078518,31.99,Condor,NESTLE,,SAUDAVEIS,MATINAIS,FARINHA LACTEA
Luva Limppano,,7896021626021,16.99,Condor,LIMPPANO,,CASA & UTILIDADES,LAVANDERIA LUVAS,LAV-LUVA ESPECIAL
Bala Haribo,,7898629570508,6.49,Condor,HARIBO,,SECA LEVE,BOMBONIERE,BALA DE GELATINA
Faca para Mesa Tramontina,,7891112045095,3.76,Condor,TRAMONTINA,,CASA & UTILIDADES,TALHERES DE MESA,TLM-FACA DE MESA
Porta-mantimentos Sanremo,,7896359024261,55.9,Condor,SANREMO,,CASA & UTILIDADES,CONSERVACAO DE ALIMENTOS,CAL-CONJUNTO DE POTES PLASTICO
Suco Natural One,,7899916900503,17.99,Condor,NATURAL ONE,,LATICINIOS,REFRIGERADO,SUCO REFR.LARANJA GARRAFA
Salame Pamplona,,7896716311195,9.69,Condor,PAMPLONA,,"FRIOS,MASSAS E GORDUROSOS",FRIOS DEFUM/CURADOS/FATIADOS,SALAME FAT.
Salsinha Delicia,,7898190400723,9.58,Condor,DELICIA,,FRUTAS & HORTALICAS,VERDURAS E LEGUMES PRONTOS,FOLHAGENS
Pe de Moleque Aragel,,7897698000619,6.59,Condor,ARAGEL,,SAUDAVEIS,GONDOLA DO AGRICULTOR,PRODUTOS DA GONDOLA AGRICULTOR
Desinfetante Kalipto,,7891022854893,11.9,Condor,KALIPTO,,LIMPEZA,BANHEIRO,DESINFETANTE LEITOSO 1.1 A 2L
Chave Biela Tramontina,,7891114029680,26.79,Condor,TRAMONTINA,,FERRAGENS & FERRAMENTAS,ACESSORIOS P/AUTOMOVEIS,CHAVES AUTOMOTIVAS
Cola em Bastao Super Molin,,7898538297183,9.29,Condor,MOLIN,,PAPELARIA/VIAGEM/LIVROS,ESCRITORIO,COLAS
Cola em Bastao Super Molin,,7898538297343,9.29,Condor,MOLIN,,PAPELARIA/VIAGEM/LIVROS,ESCRITORIO,COLAS
Chocolate Hersheys,,7899970400452,4.89,Condor,HERSHEYS,,SECA LEVE,BOMBONIERE,CHOC.TABLETE AO LEITE
Rodo Novica Bettanin,,7896001012318,21.9,Condor,BETTANIN,,CASA & UTILIDADES,LAVANDERIA RODOS,LAV-RODO SIMPLES
Pilha Alcalina Panasonic,,7896067203002,23.99,Condor,PANASONIC PILHAS,,FERRAGENS & FERRAMENTAS,PILHAS/CARREGADORES/LANTERNA,PILHA ALCALINA AA
Colher Tramontina,,7891112173019,2.55,Condor,TRAMONTINA,,CASA & UTILIDADES,TALHERES DE MESA,TLM-COLHER DE MESA E SOBREMESA
Envelope Lettera,,7896420924544,3.15,Condor,LETTERA,,PAPELARIA/VIAGEM/LIVROS,ANOTACOES PESSOAIS & CORRESPON,ENVELOPES
Biscoito Recheado Oreo,,7622300989408,4.79,Condor,OREO,,SECA LEVE,BISCOITOS DOCES,BISCOITO DOCE MENOR 95G
Bis Xtra Lacta,,7622300988517,2.69,Condor,BIS,,SECA LEVE,BOMBONIERE,CHOC.CHECK STAND BASICO
Massa Instantanea Bifum,,7898097960207,5.25,Condor,BIFUM,,SECA DOCE,PRODUTOS ORIENTAIS,MASSA
Fralda Adulto Mega Mili Vita,,7896104995235,76.99,Condor,MILI,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE INTIMA,FRALDA P/INCONTINENCIA
Prateleira DiCarlo,,7898590294359,49.9,Condor,DICARLO,,FERRAGENS & FERRAMENTAS,ORGANIZACAO,PRATELEIRAS/ESTANTE/GAVETEIROS
Copo Descartavel Festa Facil,,7898943000736,3.75,Condor,FESTA FACIL,,CASA & UTILIDADES,ARTIGOS DESCARTAVEIS,DESC-COPOS
Kiwi,,7908355600452,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Kiwi,,4070071967072,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Kiwi,,7898060740744,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Kiwi,,7898170770082,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Kiwi,,7898207062586,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Kiwi,,7898949126324,15.99,Condor,Sem marca,,FRUTAS & HORTALICAS,FRUTAS EMBALADAS,KIWI
Jogo de Calotas Luxcar,,7896498522604,109.0,Condor,LUXCAR,,FERRAGENS & FERRAMENTAS,ACESSORIOS P/AUTOMOVEIS,CALOTAS
Magic Retouch Loreal,,7509552917420,46.19,Condor,LOREAL,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,TONALIZANTE SPRAY
Magic Retouch Loreal,,7509552917437,46.19,Condor,LOREAL,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,TONALIZANTE SPRAY
Sardinha 88,,7891167023017,5.19,Condor,88,,SECA SALGADA,PEIXES ENLATADOS,SARDINHA
Torresmo para Micro-ondas Zaeli,,7896183910150,10.89,Condor,ZAELI,,SECA PESADA,GRAOS & CEREAIS,MILHO PIPOCA MICROONDAS SALG.
Formula Infantil Aptamil Profutura2,,7891025112709,95.9,Condor,APTAMIL,,SAUDAVEIS,LEITE EM PO,FORMULA INFANTIL BASICA
